,Accuracy,Shape
0,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
1,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
2,"(0.7478448275862069, 0.0, 0)","(0.0, 0.0, 0.0)"
3,"(0.7456896551724138, 0.0, -0.02698594916802746)","(0.0024630541871921183, 0.06420927467300828, 0.03571428571428571)"
4,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
5,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
6,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
7,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
8,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
9,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
10,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
11,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
12,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
13,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
14,"(0.7435344827586207, 0.0, -0.03820517589802662)","(0.0049261083743842365, 0.11890606420927474, 0.03306878306878307)"
15,"(0.7413793103448276, 0.0, -0.04684231585091433)","(0.007389162561576354, 0.23305588585017825, 0.06878306878306878)"
16,"(0.7413793103448276, 0.0, -0.04684231585091433)","(0.007389162561576354, 0.23305588585017825, 0.06878306878306878)"
17,"(0.7413793103448276, 0.0, -0.04684231585091433)","(0.007389162561576354, 0.23305588585017825, 0.06878306878306878)"
18,"(0.7413793103448276, 0.0, -0.04684231585091433)","(0.007389162561576354, 0.23305588585017825, 0.06878306878306878)"
